Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
1,1-Jan,8:34,1-Jan,8:50,MD5,Insulation failure,0:16:00,,,,
2,1-Jan,12:16,1-Jan,12:17,MC2,Insulation failure,0:01:00,,,,
3,1-Jan,12:53,1-Jan,13:23,MC2,Insulation failure,0:30:00,,,,
4,3-Jan,17:06,3-Jan,17:13,MB6,Insulation failure,0:07:00,,,,
5,4-Jan,17:02,4-Jan,17:10,MB3,Insulation failure,0:08:00,,,,
6,5-Jan,8:12,5-Jan,8:21,MB5,Insulation failure,0:09:00,,,,
7,6-Jan,11:37,6-Jan,18:40,MD1-MD6,Feeder H04 tripped due to OCEF relay triggered,7:03:00,,,,
8,7-Jan,7:34,7-Jan,14:15,MD1-MD6,Feeder H04 tripped due to OCEF relay triggered,6:41:00,,,,
9,7-Jan,14:21,7-Jan,14:23,MB3,Insulation failure,0:02:00,,,,
10,7-Jan,15:07,7-Jan,15:40,MB3,Insulation failure,0:33:00,,,,
11,12-Jan,7:25,12-Jan,7:52,MB5,Insulation failure,0:27:00,,,,
12,12-Jan,8:15,12-Jan,8:32,MB5,Insulation failure,0:17:00,,,,
13,18-Jan,16:03,18-Jan,16:18,MC4,Insulation failure,0:15:00,,,,
14,19-Jan,7:26,19-Jan,9:17,MD3,Insulation failure,1:51:00,,,,
15,19-Jan,8:02,19-Jan,8:06,MA1,Insulation failure,0:04:00,,,,
16,19-Jan,8:42,19-Jan,9:03,MA1,Insulation failure,0:21:00,,,,
17,23-Jan,9:08,23-Jan,9:36,MC4,Insulation failure,0:28:00,,,,
18,24-Jan,8:22,24-Jan,8:26,MC5,Insulation failure,0:04:00,,,,
19,26-Jan,8:24,26-Jan,8:32,MC5,Insulation failure,0:08:00,,,,
20,27-Jan,8:58,27-Jan,9:00,MC5,Insulation failure,0:02:00,,,,
21,28-Jan,8:20,28-Jan,8:35,MC5,Insulation failure,0:15:00,,,,
22,28-Jan,14:19,28-Jan,14:26,MC5,Insulation failure,0:07:00,,,,
