Row Labels,Sum of ACTIVE POWER (kW)
2024-01,37233929.65
MA1,3810466.974
MA2,4072163.237
MA3,3302708.318
MA4,3186857.918
MA5,3704893.069
MA6,3933227.135
MB1,4032659.826
MB2,3919752.088
MB3,3643159.236
MB4,3628041.853
2024-02,39285328.02
MA1,4087176.763
MA2,4273012.464
MA3,3489960.635
MA4,3349394.17
MA5,3945038.471
MA6,4288230.881
MB1,4252261.413
MB2,4157626.828
MB3,3744155.789
MB4,3698470.61
2024-03,39284778.06
MA1,4131887.58
MA2,4219262.162
MA3,3325706.709
MA4,3314213.023
MA5,3986611.282
MA6,4302228.503
MB1,4268935.41
MB2,4342697.263
MB3,3739643.431
MB4,3653592.699
2024-04,38888237.49
MA1,4104131.781
MA2,4349974.13
MA3,3616164.566
MA4,3479860.998
MA5,3990366.929
MA6,4282035.936
MB1,3976736.99
MB2,3956940.177
MB3,3690044.331
MB4,3441981.654
2024-05,42186368.57
MA1,4017692.353
MA2,4300281.023
MA3,4356087.619
MA4,4194932.713
MA5,4101303.387
MA6,4259662.783
MB1,4346717.885
MB2,4230166.745
MB3,4148613.774
MB4,4230910.286
2024-06,36196839.05
MA1,3533613.07
MA2,3765605.814
MA3,3672933.407
MA4,3603439.859
MA5,3387962.84
MA6,3634773.695
MB1,3805616.819
MB2,3671359.53
MB3,3560004.07
MB4,3561529.944
2024-07,42770643.65
MA1,4302881.787
MA2,4414621.652
MA3,4342782.34
MA4,4252995.481
MA5,4158796.938
MA6,4247367.723
MB1,4402835.246
MB2,4315775.207
MB3,4083094.267
MB4,4249493.004
2024-08,43672231.91
MA1,4418611.002
MA2,4492944.057
MA3,4459871.715
MA4,4328611.958
MA5,4194543.515
MA6,4366007.297
MB1,4504154.832
MB2,4292221.878
MB3,4287619.624
MB4,4327646.03
2024-09,42370407.53
MA1,4265792.71
MA2,4341004.369
MA3,4194718.902
MA4,4100928.341
MA5,4081148.023
MA6,4242750.977
MB1,4386925.798
MB2,4225607.631
MB3,4244342.157
MB4,4287188.623
2024-10,46063757.5
MA1,4654730.117
MA2,4669041.345
MA3,4605564.3
MA4,4582474.822
MA5,4553581.838
MA6,4601008.278
MB1,4731107.47
MB2,4670251.156
MB3,4344481.76
MB4,4651516.417
2024-11,37841805.28
MA1,3800000.854
MA2,3818707.376
MA3,3784808.263
MA4,3757239.98
MA5,3770475.776
MA6,3744299.541
MB1,3854593.286
MB2,3792858.458
MB3,3730997.227
MB4,3787824.519
2024-12,36001612.47
MA1,3871690.557
MA2,3865587.548
MA3,3826691.739
MA4,3808179.362
MA5,3785977.878
MA6,3841333.512
MB1,3863813.663
MB2,3843493.617
MB3,3776628.786
MB4,1518215.812
2025-01,0
MA1,0
MA2,0
MA3,0
MA4,0
MA5,0
MA6,0
MB1,0
MB2,0
MB3,0
Grand Total,481795939.2
